Essays,Grammar,Lexical,Global Organization,Local Organization,Supporting Ideas,Holistic
"I think the government should limit the number of children each family can has, regardless of the population or size of the country.
As we all know, the number of people that the earth can bear is limited. If it exceeds this limit, the ecology of the earth will suffer devastating destruction and can not even be restored.At the same time, limiting the number of population can improve the quality of each individual and optimize the population structure.If the population of a small country wants to boost its population, it may consider building a partnership with a large population to attract migrants.
In short, it is necessary for the government to limit the number of children in each family.
",5.5,5,5.5,5.5,5.5,3.5
"As time goes on, world population has been constantly increasing. This leads to many serious problem, such as population boom, resource shortage and so on. So some government attend to limit the number of children in a family to solve these problems. But some people disagree with them. They think it violates basic human rights and it should be forbidden. For my perspective, I think they all have their own standpoint. We should keep balance between them.
For example, Chinese government practice a new policy to limit the number of children in a family. At first, the new policy works well. However, as time goes on, there are many problems exposed, such as aging of population and hard to support parents. Therefore, Chinese government decides cancel the policy .Finally I suggest every country should, according to their own national conditions, practice proper policies and at the same time not harm the interests of the people.
",6.5,6,5,5,6.5,4
"When it comes to basic human rights, I think of the right of equality and freedom. As we all know, people of different races are treated in different ways in a way in the world. Though it's a common-sense that everyone own equal rights , the white race feel superior to the yellow and black and discriminate them in social life. As far as I see, everybody wants to have equal rights in all fields of life. Besides, we all need to meet all kinds of choices and no one would like to be forced to make a choice, which doesn't follow their heart, for example, the salesman forced you to buy goods that you don't like at all. Thus, it's important to have freedom.
As for population explosion, I think in will increase the burden of the earth. With the growth of population, there will be less soil and more hungry people, fewer trees and more pollution. The street will be more crowded and the air is difficult to be fresh because of cars and other machines. Additionally, more animals could die out in that they lack of habitats and food. In a world, population explosion will bring many problems to us.
",6.5,5,3.5,5.5,5.5,3.5
"Those years population explosion is a big problem to whole world. and in my opinion, the population increase is bad to earth. 
During population increasing, the world need more and more resources .such as water, pure air and gas. but our earth has limited resources, people need more ,so our earth will out of resources one day. 
But in human rights, every person is a life. We have our right, we are one of son to earth. With population increases, maybe will has war. 
in the end, with population explosion, we need to find new plant ,in this way, we can solve the question.
",4,3,3,3.5,3.5,2
"To discuss this question, firstly, we should make clear about why the question was published by our government. From my perspective, I hold a view that our government publish this rule is aiming at limit the number of human, because if there are more and more people, there will be a day that the resources can't afford to pay the human's need. So from this respect, I think our government has done a right thing , but everything has its two sides, for most family, they not only want a children, but also want two or more children, because just one baby may not fit for every parent's expectation, especially in china and some traditional countries. So, to put our view into a long sight, I think what government has done is definitely right, but to consider in some human feelings, I think this is not good enough. So, what the problem is right or false is depending on how you think and what situations you are in.",4,4.5,3,3.5,4,2.5
"It's well-known that the population questions have always been a major issue in the world. Some people hold the view that we ought to insist on the basic national policy of family planning and the government must limit the number of children a family can have. However, it occurs to others that a family are able to have the freedom to decide the number of children.
In my opinion, the number of children should be limited by the government. First of all, as we all know, the number of population is getting lager and lager nowadays. Therefore, the government must take actions to prevent the population from growing too fast so that to effectively solve the population questions. In addition, population expansion will overload the planet which do harm to people's lives. Last but not least, it may bring both serious food problems and land problems or even lead to war.
In a word, the government should limit the number of children a family can have.
",5,5,6.5,6.5,6.5,4
"Population is a major thing for constitute a country. Government have do something for the sake of country. Such as use policy to improve or reduce population. 
In Russia, government have to encourage people give birth to their children because of few population. If a Russian couple have their second or third child, government will help them bring up their child in money. 
But sometimes, too many persons could make country burthen. China has adopted one-child policy for a few decades. One of the most important reason is population explosion after China be set up. After governmental effort, now the policy is abolished. 
In this world, many developing counties like China, have a serious matter about population explosion. And some other country be faced with lack-child's problem after financial crisis. Governments have duty to improve population, but it just in encourage. Any government can't limit a couple have more children in morality. However, some governments have power to accomplish their policy. A country need to get command of population, it means too many populations become the country's encumbrance. 
A government should do something it mast to do, people also have their basic rights. If our country in danger, we need do anything we can do. If not, we should protect our right.
",3.5,3.5,4.5,4,4.5,2.5
"I think family planning is the most effective way to solve the population problem. 
China has the largest population in the world, more than 1.3 billion, which is 20% of the world population. With the rapid increase of population, There are many problems such as employment stress .educational stress. and the medical problems ,which are becoming more and more serious. So, it is a very important and urgent to control the China population, and the Family Planning Policy is the best way.
The Family Planning Policy can lighten the social and national burden and can make each person share more resources. Although some of people have been complaining the Family Planning Policy, the advantages of are more than the disadvantages of Family Planning Policy. 
So, I think Family Planning Policy suitable for China's national conditions.
",4,4,4.5,5,4,3
"In my opinion, the government should limit the number of children a family can have. 
Although I want a young sister or a young brother who can play with me and company me, our country do have too much people so that wherever we go we can see a lot of people. Apart from this, too much people also make many proplems which we can not imagine. For exmple, for there are lots of people, we may not have enough place to for live and we are short short for water and food. Not only that, too much people can make more social issues.
Because of these, the governmentlimit the number of children a family can have is necessary.
",4.5,4,5,4.5,4.5,3
"As we can know, the number of chinese population is the largest in the world. Therefore, our goverment has limitted the number of chirldren a family can have. But should it be allowed?
As far as I am concerned, I hold the view that it is a important decision. First and the most important, our essentail resouces such as food.water and energy are limitted, but the number of population is larger and larger.Hance, if we don't take action, our son and grandson will be faced with the problem that lack the vital resources.
What's more? Now, many problems are due to the enormous population.For example, the communal facilities like school and hospital are under heavy burden.What's worse?There are still so many pepole who can't go to school and hospital owing to the poverty caused by the huge population.
What if the number of population get more and more huge?I am not sure. However, one thing is certain.They won't live a better life than us!
",5,4.5,5.5,5.5,5.5,3.5
"I think goverment should not be allowed to limit the number of children a family can have. Here are many reasons.
First,Although there are so many people in china,most people are the middle-aged and old. So that a young people should care for several old people. Therefor two children will ease the burden.
Second,nowadays people's ideas have changed. Many people don't think that having many children is a good thing. So that they won't have more than two children.
Now china face a serious social aging problem,increasing the number of births can effectively alleviate the problem. I think our government don't need do that.
",4.5,4,5,4,4,3
"As is known to us, human beings play an important important role on earth. So the basic human rights is necessary and important to the people who live in different countries. Here are my opinions.
There is a grim truth that the population is explosing too fast. It makes resource shortage. So we need a law to protect fairness so that everyone wants equal rights. At the same time, the population explosion also take other questions, such as the environmental pollution and ecological imbalance. What's more, too many people increase the difficulty to ensure every one's basic human right.
Family planning is an effective way to solve the problem.
",4,4,4.5,5,4,3
"I agree with the idea that the government be allowed to limit the number of children in a family. My evidences are as follows.
With the development of the society, the living condition is getting better and better, which makes it possible for the longevity of human. But problems also come.
First, the population explosion can bring lots of serious problems, such as hunger short of food, garbage disposal and so on. Even the terrorism may take place all over the world.
Though the number of children is decided by mom and dad, it should also be restrict by the government. We have the rights and freedom to choose the way we live. But we should also take the earth's condition into consideration. Earth is like our mother, we should love her and respect her.
All in all, I think the government should restrict the number of children a family can have. Only in this way, can we live a happy life.
",5,5,5.5,5.5,5,4
"In my opinion, I hold the view that the government should make some proper policies about limiting the number of children a family can have. Here are my reasons
On one hand, our country has the largest population in the world. Overpopulation can bring many social problems. Because the resources that humans depend on are 
imited. For example, there are not enough food to eat provided that the population is too large. In this way, it's necessary for the government to take measures to limit population growth. On the other hand, considering the parents' rights and the problem of supporting old people, the government is supposed to leave room for parents to choose when making policies.
In a word, the government should consider the parents' feelings first and then make proper policies to limit population growth.
",6,5,5.5,5.5,5,4
"As we all know, basic human rights is important for everyone.And there are too many people in earth to earth can't bear the burden. I would like to express my idea about the two points mentioned above.
Take China for example. In fact, living in China is extremely free. In China, you can say everyting if the speech doesn't damage country and people. Second. Besides, the most respect women country is China, women's social position is as high as men whatever in family or in school or in company. On the other hand, China's Public Security is Stabler than western. 
The population increased quikly in recent century, which means there is less area of per capita and more need of food and water. on the orther hand, population increass means more people need energy. So people will rob animal of limited resouces, which cause the reduce of type of animal.
In order to have more happy environment. We should strive for basic human rights and control the population.
",4,4.5,5.5,5,5.5,3.5
"As everyone knows, with the society development, the population is more and more, which brings about many phenomenon. Above all, the rapid growth of the population has brought problems such as employment, housing, education, medical care and so on. In addition, the huge population base, rapid population growth, natural environment and natural resources of our country not only has a huge impact and heavy pressure, triggered a series of economic and social problems. what is the more important thing is that the improvement of the living standards of our people has been seriously affected, which directly affects the accumulation of funds of economic construction, which restricts the development of economy and the improvement of education and scientific level. 
So, in my viewpoint, limiting population growth is more significant.
",5,5,3.5,5,4.5,3
"As we all know, the population of the earth is more than 7 billion today. And it's growing at a very fast rate. The danger of population explosion can not be ignored. Scientists point out that the earth can only feed 10 billion people. 
The first problem of population explosion is the shortage of food. The resources of our planet are finite. Once the resources of the earth are exhausted, the human race will become extinct. And remember, one day the Earth's resources will be depleted, and the space and space exploration is the future. But, along with the population total amount on the earth, with unbearable heavy burden of resources environment on the earth increasing rapidly, the situation allows of no the optimism. 
As far as I'm concerned, the government should limit the number of children in a family.
",6,5.5,6.5,6,6,4
"I thinke a government should limit the number of children a family can have according to its economy.
A large population will be a power to help the development of the country which have a strong economy otherwise it will be the burden of the development of the economy.
The population can provide work force.active for the social.But it bases on a strong economy.When a country own a large population,the country should spend money for supporting many people.It is a large burden for a country which is poor.
Generous speaking,if a country have a strong economy,it should encourage families to have many children.
If a country don't have a strong economy,it should encourage families to have less children.
",4,3,4,4,4.5,2.5
"In my opinion, a government should be allowed to limit the number of children a family can have. As everyone knows, the population of our earth has already over 7 billion, and it's close to the upper limit of the world's population. The huge number of the world's population brings a variety of problems, such as the shortage of resource, the worsening environment pollution, etc. Limiting the number of children a family can have is the best way to limit the world's population effectively and can also prevent the danger of population explosion. What's more, the limitation of the number of children a family can have will also calls up more people to pay more attention to the problem of giving a better birth, so that the quality of the people will be promoted. And I think it's a way to show the respect for the human rights. So I support a government should be allowed to limit the number of children a family can have.",7,6,4.5,6.5,6,4
"With the quickly increasing of economy and great improvement of civil living condition, more and more conflits concerning whether a government should be allowed to limit the number of children a family can have flood. 
When it comes to the issue, the rights of individuals occur to us. In some cases, the limitation infringes rights of human beings. Commonly appreciated, the younger is the source of family happiness. 
Nevertheless, from the family planning to the policy which allows, the goverment has done a lot, bending itself to controling population of our country. The menance of populartion explosion bringing disasters to the world requires reducing the population size of babies. Additionally, due to the aging population resulting in labor shortage, every family are allowed to have two children, restricting the aging population more and more serious. 
Furthermore, without the proper regulation of population, the world would be in a mess. 
In conclusion, I am in support of that a government should be allowed to limit the number of children a family can have.
",6,5,5.5,5.5,5.5,4
"In my opinion,I think government should be allowed to limit the number of children a family can have. First,there are plenty of people in the world, about 72 hundred million. So,we should keep the number of the people,otherwise the earth will not bear the heavy load. 
Although one children in the home sometimes will feel lonely,maybe they can not find anyone to accompany them. And they do not want to do anything at all. All they want is sleeping,sleeping,and sleeping. However,we should think for our country,even our earth. It is our responsibility to protect the world. We should keep the number.
",4,4,4,5,4,3
"The problem of increasing population have to be looked highly now days. This years ,human's science technology
has grown a lot,as well as medical level,in this way,the rate of human death got lower a lot and birth rate increased faster and faster.
There are many countries practiced family planning such years ago, but look from the sight of human rights ,should we control population is a series question, in my opinion , I think it is necessary ,though human have the right to birth ,but now ,the difference between animal and human is that human should be restrained by social rules, and in order to give us a better life ,we should control population.
",4,4,4,4,4,3
"In my opinion, I think the goverment should not limit the number of the children a family can have. First of all, the ecology knowledge tells us the population can be controlled well with the limited resources. The people would reduce the birth of the child. Secondly, I think it is the people's right to birth and raise the child, The goverment does not have rights to take the people's rights. Finally, the controlling of the birth can lead to the ""Elder society"", which means much more old people should be taken care of. That can give too much pressure to the teenagers. It can also make the country have less people to work and create. So, in one word, the goverment should not limit the number of the children a family can have.",5,5,4,5.5,5.5,3.5
"I think if the population would increase more. The human rights would meet more serious problems. 
Firstly, people would have the less resources than now, the food, water, soil and the other resources would become a more serious problem of the social. The government must put more effective and fund in the protect of environment. The social which lacks harmonious would lead violence and crime.
Then, the education quality would be lower , too. The parents would worry about their children's studying, would worry about whether their children be paid enough attention. The low-educated generations could only destroy the values they inherit from their parents.
",4,3,4.5,4,4,2.5
"It could be a large question to think about what are the rights and duty, and what's the connection between these two things. But now it could be a chance for me to express my opinions just account for the question that should a government be allowed to limit the number of children a family can have. 
As it's known to us. All human have the rights to decide what's the life we can live and we also have the rights to get the freedom which belongs to us forever. According to that, we are given the rights to decide how many children we could have. And we have the freedom to give all of our children a chance to live and a chance to enjoy the happiness to be in the world. But the government forbid that. And why?
I think it need to be thought in another way. THe danger of population explosion, what are the problems it could bring? Firstly, all of our human just have an only commen home, that's the Earth, and the ability and the resource it has to support the living of human are limitationaly. what's more unlimit birth could also make a family to afford more. 
At last but not least. I support the government to limit the number of a family can have.
",4,4,5,4.5,5,3
"In my opinion, the government shouldn't be allowed to limit the number of children a family can have. So why I say this under the situation of 1.3 billion people in China? I can prove it right now.
First, China used to limit the children numbers, when the people was controlled by the idea of bring up more children means more happiness. However, nowadays, we never think that is true and the population of China even the whole world is almost full. Because the more people the more competition, we Chinese don't want to born more children any more.
Second, born is one of the human rights, I think the government ought to respect it. 
Above all, I don't think government limit the number of children is right or even necessary. Actually, China have already realized the disadvantage of the limited of children. Such as, we don't have enough young people to do the heavy works or we haven't got the money to release the retire people and so on.
All in all, the government shouldn't be allowed to limit the number of children a family can have.
",4,4.5,5.5,4.5,4.5,3.5
"Since the China founded, human rights has become an important item. People focus more on their own right. At the same time, the goverment also takes a lot of measures to satisfy people's recommments. There are many laws being changed to better protect people's profit. Human rights become a thing which is not hurt.
Another problem is population explosion. Too much population causes a lot of problems, such as less water and food. besides, pollution has also become a world-class problem. Due to too much 
population, these problems will cause a big disaster when our national population has over a limitation. And this disaster will need us use more time to deal with it.
So, we and our goverment should take more measures to face these problems and protect our better life.
",5,6.5,5.5,6,6.5,4.5
"Owning more kids or just one? Facing this question, I guess most families will choose the former. Most people support that government shouldn't be allowed to limit the number of children a family can have. Last year, our country published a new policy about kids that every family can own two kids. There is no doubt that it was good news for most families. However, as far as I am concerned, it is bad news for the earth. Our country, China, owns the largest publication in the world, although this policy is good for our country, since we are facing a big problem of the old, and we need more young men, it also brings more stress to our country and earth. Larger publication means more resources needs, including space needs, food needs, educations needs and so on. Maybe twenty years later, young men who are facing so many problems will complain this policy. I think our government should be allowed to limit the publication, and keep limiting. To every family, maybe it is not good, but to the country's future and earth's future, it is beneficial. Less people means less resources will be used, and less pollution will be produced. In a word, publication limit is necessary, it should be allowed. I think we need to look further, and consider further.",6.5,4.5,5,5.5,6,4
"With the development of society l, population grows faster and faster . As a result, our government limits the number of children that a family can have. 
In my opinion, government should limit the number of people. Above all, more populations must create many troubles. For example, so many people will consume more resources. It is important for everyone who is on the earth. In addition, it also make how to find a job difficult. In the end, more and more families will be poor. What's more, there is no enough room for people if population adds so quickly. After all, only have enough room can family have more children. Last but not least, population is an essential part of a country. It affects a country very much. All in all, government should limit the number of children in a family.
",5,4.5,5.5,5.5,6,3.5
"With the development of sociaty, human lead a better and better life. However, they are facing the problem of population now. Therefore, the government take some measures to solve the problem. People have different views about the problem. Some people think that the government should involve the population problem, because every one in the world own the basic human rights, so,they believe that no one have rights to kill life, on the contrary, evey life should be respected. However, other people insist that the government should limit the number of children a family can have. They hold the opinion that overpopulation will cause many problems such as human's living and natural disaster. As for me, I agree with the latter because I consider that human will benifit more from the limitation of population as well.",5,4,4.5,5,3.5,3
"In the modern international society,the basic rights are pretty essential for every person. There are some examples of the basic human rights. Such as the rights of owning self safety,equal treatments in social activities, self-determination of their property, opportunity for getting equal education and rights for participating in political activities. And for a collectivity,they derserve to get right for peace environment and the right for seeking for their labour rewards.
And for the danger of population explosion, there are many factors to limit the population. Because of the lack of resources, the earth can't support more people to live. If the amount of the population is increasing, the existing people will also become dangerous in leading a hard life. Therefore, it's horrible when people facing the population explosion.
",5,5.5,3.5,5,3.5,3
"First the rapid growth of the world population poses a great challenge to sustainable development. The population of the world has jumped from 2 billion 500 million in 1950 and 4 billion 400 million in 1980 to about 6000000000 in 2000. According to information provided by the World Summit on sustainable development, the United Nations estimates that the global population will increase to 8 billion in 2025 and 9 billion 300 million in 2050, and the global population is expected to be stable at around 105 or 11 billion. Almost all of the population growth in the future will come from developing countries, and the world will have to feed another 5 billion people for the future.
Second with the growth of population and the improvement of people's living standards, land, water, energy and other natural resources will become more tense, especially in developing countries, which may lead to an unprecedented crisis. According to the latest report of the United Nations, the Asian population growth rate decreased, but the population density is still higher than that of other continents, in East and South Asia, only 1/6 hectares of arable land per capita, with the population growth, the pressure on the land and the agricultural irrigation water shortage, forcing these areas need to increase food imports to reduce hunger and improve the nutrition structure.
",6,6,4,5,4.5,3.5
"With the increasing of population, there are more than 7 billion people on the earth. The earth is crowded, and this result in some difficult problem. 
First, some resource like water.energy and soil can not satisfy everyone, so, they have to start a war to get more resource. Second, too many people maybe destroy the environment of earth. Our nature can tolerate some people but 7billion. Some problems have come out, our ice bergs melt with a very fast speed, and with more and more trees been cut down, many places change into desert, so if the problem of population can not be solved, our nature will break down one day. Finally, because of the number of people, some basic human rights can not be guaranteed, in the Africa, some children die for they can not get even a little food, and what they drink is polluted water, and in some countries which is in the war, many common people without a gun are very to be killed. 
we need to face this reality at once.
",6,5,5.5,5.5,6,4
